2026-07-11 22:02:27 INFO    src.validation.walk_forward | grid 9/32 {'min_gap_points': 30.0, 'min_stop_points': 25.0, 'target_r': 1.0, 'expire_minutes': 30, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 492 trades, net $-1937
2026-07-11 22:02:29 INFO    src.backtest.engine | fvg_scalp: 392 trades, 23 ambiguous bars, 0 forced session-end exits
2026-07-11 22:02:29 INFO    src.validation.walk_forward | grid 10/32 {'min_gap_points': 30.0, 'min_stop_points': 25.0, 'target_r': 1.0, 'expire_minutes': 30, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 392 trades, net $-2305
2026-07-11 22:02:31 INFO    src.backtest.engine | fvg_scalp: 575 trades, 30 ambiguous bars, 0 forced session-end exits
2026-07-11 22:02:31 INFO    src.validation.walk_forward | grid 11/32 {'min_gap_points': 30.0, 'min_stop_points': 25.0, 'target_r': 1.0, 'expire_minutes': 60, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 575 trades, net $-1910
2026-07-11 22:02:33 INFO    src.backtest.engine | fvg_scalp: 462 trades, 23 ambiguous bars, 0 forced session-end exits
2026-07-11 22:02:33 INFO    src.validation.walk_forward | grid 12/32 {'min_gap_points': 30.0, 'min_stop_points': 25.0, 'target_r': 1.0, 'expire_minutes': 60, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 462 trades, net $-2056
2026-07-11 22:02:35 INFO    src.backtest.engine | fvg_scalp: 492 trades, 28 ambiguous bars, 1 forced session-end exits
2026-07-11 22:02:35 INFO    src.validation.walk_forward | grid 13/32 {'min_gap_points': 30.0, 'min_stop_points': 25.0, 'target_r': 1.5, 'expire_minutes': 30, 'entry_mode': 'mid', 'vwap_filter': False, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 492 trades, net $-2473
2026-07-11 22:02:37 INFO    src.backtest.engine | fvg_scalp: 392 trades, 21 ambiguous bars, 1 forced session-end exits
2026-07-11 22:02:37 INFO    src.validation.walk_forward | grid 14/32 {'min_gap_points': 30.0, 'min_stop_points': 25.0, 'target_r': 1.5, 'expire_minutes': 30, 'entry_mode': 'mid', 'vwap_filter': True, 'tick': 0.25, 'entry_start_minute': 575, 'entry_end_minute': 900} -> 392 trades, net $-2462
